key,source,target
Str_WD_Race_Story_01_NextPreview/1_1_1,"危険な香りのする男、秋山渉。
彼との出逢いが運命を変えていく！","Мужчина с опасным ореолом — Акияма Ватару. Встреча с ним изменит судьбу!"
Str_WD_Race_Story_01_NextPreview/1_1_2,"渉との別れの先で待ち受けていたのは、新たな出会い‥！","После расставания с Ватару впереди ждала новая встреча…!"
Str_WD_Race_Story_01_NextPreview/1_1_3,"再びぶっちぎられた池谷の顔に浮かぶのは、まさかの‥笑み？","На лице Икетани, которого снова оставили позади, появляется… улыбка?"
Str_WD_Race_Story_01_NextPreview/1_1_4,"秋名スピードスターズに交流戦を申し込みに来た謎の走り屋チーム。
彼らの正体とは‥！","К таинственной уличной команде, бросившей вызов Акина Спид Старз… кто же они на самом деле?!"
Str_WD_Race_Story_01_NextPreview/1_1_5,"中村賢太をちぎった帰り道、その先で待っていた男とは‥！","После победы над Кэнта Накамурой, на обратном пути его ждал таинственный мужчина…!"
Str_WD_Race_Story_01_NextPreview/1_2_1,"秋名で行われた交流戦。
そこにハチロクに乗ったひとりの青年が現れる。","На встречном заезде в Акине появляется юноша за рулём Хачироку."
Str_WD_Race_Story_01_NextPreview/1_2_2,"交流戦の熱気は未だ収まらない。
秋名のハチロク、彼は一体何者なのか。","Жар обменного заезда всё ещё не угасает. Кто же этот парень на акнинском Хачироку?"
Str_WD_Race_Story_01_NextPreview/1_2_3,"突如叩きつけられた挑戦状。
妙義ナイトキッズの中里毅とは‥！","Внезапно брошенный вызов. Это был Накасато Такэси из Мёги Найт Кидз!"
Str_WD_Race_Story_01_NextPreview/1_2_4,"妙義ナイトキッズから一本の連絡が届く。
それは危険な夜への招待状――！","Из Мёги Найт Кидз пришло сообщение. Приглашение на опасную ночь――!"
Str_WD_Race_Story_01_NextPreview/1_2_5,"息抜きで訪れた碓氷峠。
そこで待ち受けていたのは、地元最速の二人組。","На отдыхе на перевале Усую его поджидала пара местных, самых быстрых гонщиков."
Str_WD_Race_Story_01_NextPreview/1_3_1,"暗い夜の闇の中、
碓氷峠最速の二人、インパクトブルーが立ちはだかる‥！","В тёмной ночи на перевале Усую преграждают путь самые быстрые — Импакт Блю!"
Str_WD_Race_Story_01_NextPreview/1_3_2,"白い彗星の噂を聞いて向かった赤城山。
そこで出逢った男とは‥？","Услышав слухи о Белой Комете, он направляется на гору Акаги. Там его ждёт встреча с загадочным мужчиной…?"
Str_WD_Race_Story_01_NextPreview/1_3_3,"中村賢太のバトルの後、
突如現れたのは、闇を切り裂く黄色いFD！","После гонки с Кэнта Накамурой внезапно появляется ярко-жёлтый FD, разрезающий тьму!"
Str_WD_Race_Story_01_NextPreview/1_3_4,"走り去っていく高橋啓介。
彼とすれ違うように現れたのは、見覚えのあるあの男‥！","Уезжающий Такэхаси Кэйсукэ… и вдруг навстречу появляется знакомый мужчина!"
Str_WD_Race_Story_01_NextPreview/1_3_5,"二本目のバトルを要求する秋山渉。
そんな彼の背後から、不穏な音が鳴り響く。","Акияма Ватару требует второго заезда. Но за его спиной раздаётся зловещий звук."
Str_WD_Race_Story_01_NextPreview/1_4_1,"突如現れた謎の男、岩城清次。
彼もまた、高橋兄弟を探しに来た挑戦者だった。","Неожиданно появляется загадочный мужчина — Иваки Сэйдзи. Он тоже пришёл бросить вызов братьям Такэхаси."
Str_WD_Race_Story_01_NextPreview/1_4_2,"久しぶりに再会した池谷たちに追われる中、
突如現れたのは、謎のクルマだった。","Во время встречи со старыми друзьями Икетани внезапно появляется таинственная машина."
Str_WD_Race_Story_01_NextPreview/1_4_3,"偶然出会ったナイトキッズの二人。
彼らは白い彗星率いるレッドサンズとバトルをするらしい。","Случайно встретив двух Найт Кидз, он узнаёт, что они собираются сразиться с Рэд Санз во главе с Белой Кометой."
Str_WD_Race_Story_01_NextPreview/1_4_4,"再び訪れた赤城山。
そこには、探していたあの男の姿があった。","Снова вернувшись на гору Акаги, он находит того самого мужчину, которого искал."
Str_WD_Race_Story_01_NextPreview/1_4_5,"涼介に勧められて訪れたいろは坂。
待ち受けていたのは、屈強な走り屋軍団だった。","По совету Рёскэ он отправляется на Ирохадзака. Там его ждёт мощная группа стритрейсеров."
Str_WD_Race_Story_01_NextPreview/1_5_1,"エンペラーのメンバーが敗れ、引きずりだされた岩城清次。
1vs1のバトルが幕を開ける。","После поражения одного из участников Император, вперёд выходит Иваки Сэйдзи. Начинается поединок 1 на 1."
